"All TYRES","الكفرات"
"Thailand","تايلاند"
"Turkey","تركيا"
"UK","المملكة المتحدة"
"USA","أمريكا"
"Vietnam","فيتنام"
"South Africa","جنوب إفريقيا"
"Do you have any comments regarding the order?","هل لديك أي تعليقات بخصوص الطلب؟"
"Categories","الفئات"
"Popular Tags","مدونات متصدّرة"
"Recent Post","أحدث المدوّنات"
"Stay Connected","ابقَ متابعاً"
"Share By","شارك عبر"
"Read More","اقرأ المزيد"
"Next","المدوّنة التالية"
"Previous","المدوّنة السابقة"
"Continue Reading","أكمل القراءة"
"NEW WORK ORDER","طلب جديد"
"Dear Installer","حضرة مزوّد خدمة التركيب،"
"Thank you for accepting TyresOnline Work","شكراً على قبولك المهمّة المطلوبة من TyresOnline"
"Please find the details below","يرجى الاطلاع على التفاصيل التالية"
"Delivery Date/Time","تاريخ/ وقت التوصيل"
"1. The tyres supplied to you under this work order must be fitted ONLY to the Vehicle bearing the license plate number and the description specified here. Please contact us if the customer insists on fitting these to another vehicle.","1. ينبغي تركيب الإطارات التي أُرسلت لك بموجب هذا الطلب حصرياً في المركبة التي تحمل رقم اللوحة ذاته والوصف المحدّد في هذا المستند. يرجى التواصل معنا في حال أصرّ العميل على تركيب هذه الإطارات لمركبةٍ مختلفة."
"2. Please refuse to accept delivery if the tyres being delivered by the courier are not the exact same specifications and DOT as listed here.","2. يرجى عدم قبول استلام الإطارات الواردة المرسلة إليك، ما لم تكن بالمواصفات المطلوبة ذاتها، مع رمز DOT المُدرج في الطلب."
"3. The customer has paid for new tyres, delivery, installation, balancing and disposal of old tyres.  You will have to charges the customer directly for Alignment or any other service you provide.","3. سدّد العميل سعر الإطارات الجديدة وكلفة توصيلها وتركيبها وضبط توازنها والتخلص من الإطارات القديمة. إذا طلب العميل أيّ خدمة أخرى منك، مثل ضبط استقامة العجلات أو غير ذلك، ينبغي عليك تحصيل الكلفة الإضافية منه مباشرةً."
"4. The work order will not be considered complete unless the customer sign this work order and you email back a scanned copy to your TyresOnline contact.","4. لا يُعتبر العمل مُنجزاً إلا بعد إرسالك نسخةً مصوّرة وموقّعة من العميل إلى البريد الإلكتروني للجهة التي تواصلت معك من TyresOnline."
"Job Complete (Y/N)","أُنجزت المهمة (نعم/ لا)"
"Remarks (if any)","الملاحظات (إذا وُجدت)"
"Date & Time","التاريخ والوقت"
"Customer Signature","توقيع العميل"
"PURCHASE ORDER","طلب شراء"
"PO/ORDER","رقم طلب الشراء/ الطلب"
"VENDOR","البائع"
"SHIP TO","تُشحَن إلى"
"Order Comment","ملاحظات بشأن الطلب"
"Click Here","اضغط هنا"
"Special Instructions","تعليمات خاصة"
"1. Please mention this order number in your invoices for this order.","1. يرجى ذكر رقم الطلب المحدّد أعلاه في الفواتير الخاصة به."
"2. Please notify us immediately if you are unable to ship as specified.","2. في حال تعذّر عليكم شحن الطلب بالشكل المحدّد، يرجى إبلاغنا بذلك على الفور."
"If you have any questions about this purchase order, please contact","لأيّ سؤال حول طلب الشراء، يرجى التواصل معنا على الرقم "
"Al-Talayi Company Limited","شركة الطلائع المحدودة"
"Fourth Floor, Bridgestone Bldg. Al Sharafeyah, Palestine St. Jeddah, KSA","المملكة العربية السعودية، جدة، شارع فلسطين، الشرفية، مبنى بريجستون، الطابق الرابع"
"Copyright © 2022 TyresOnline, All rights reserved.","جميع الحقوق محفوظة لتايرز أونلاين © 2022"
"Copyright © 2023 TyresOnline, All rights reserved.","جميع الحقوق محفوظة لتايرز أونلاين © 2023"
"Copyright © 2024 TyresOnline, All rights reserved.","جميع الحقوق محفوظة لتايرز أونلاين © 2024"
"3. The tyre/s to be supplied under this purchase order must comply with KSA law and with standards approved as Gulf Technical Regulations by GSO.","3. يجب أن يتوافق الإطار / الإطارات التي سيتم توريدها بموجب أمر الشراء هذا مع قانون المملكة العربية السعودية والمعايير المعتمدة وفقًا للوائح الفنية الخليجية من قبل هيئة التقييس الخليجية."
"Thanks for contacting us. We'll respond to you very soon.","شكراً لتواصلك معنا، سنقوم بالرد عليك قريباً."
"Sunday to Thursday: 09:00 AM to 05:00 PM","الأحد - الخميس: 9:00 صباحاً حتى 5:00 مساءً"
"Friday and Saturday - Closed","الجمعة والسبت - مغلق"
"My Order Attachments","مرفقات الطلب"
"No records found","لم يتم العثور على نتائج"
"Coupon was successfully applied.","تم تطبيق رمز الكوبون بنجاح"
"Coupon code was removed.","تمت إزالة رمز الكوبون"
"Coupon code is not valid.","رمز الكوبون غير صالح"
"Remove","إزالة"
"Remove item","إزالة البند"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد أنك تريد إزالة هذا البند من سلّة التسوّق؟"
"OK","نعم"
"We can't find products matching the selection.","لا يمكننا العثور على المنتج المطابقة للاختيار"
"Enter your comment...","أدخل تعليقك ..."
"Search By","بحث عن طريق"
"Set of","طقم من"
"Set of 4","طقم من 4"
"Set of 2","طقم من 2"
"Set of 1","طقم من 1"
"ADD","أضف"
"Tyre fitment included","شاملة تركيب الإطارات"
"BUY","إشتري"
"Run Flat Tyres","إطارات ران فلات"
"Run Flat Tyres (RFT) are a unique type of tyre engineered to maintain structural integrity after experiencing a puncture.","الإطارات ران فلات هي نوع فريد من الإطارات المصممة للحفاظ على السلامة الهيكلية بعد التعرض للثقب."
"They feature reinforced sidewalls that support the vehicle's weight even when air pressure is lost. This means you can keep driving for a bit longer, usually around 80 km, at a reduced speed of about 80 km/h. RFTs offer increased safety and convenience, as you'll have enough time to find a safe place or workshop to get it fixed or replaced.","تتميز بجدران جانبية معززة تدعم وزن السيارة حتى عند فقد ضغط الهواء. هذا يعني أنه يمكنك الاستمرار في القيادة لفترة أطول قليلاً، عادةً حوالي 80 كم، بسرعة مخفضة تبلغ حوالي 80 كم/ساعة. توفر إطارات المسطحة مزيداً من الأمان والراحة، حيث سيكون لديك ما يكفي من الوقت للعثور على مكان آمن أو ورشة عمل لإصلاحها أو استبدالها."
"ALL TYRES SIZE","جميع مقاسات الإطارات"
"More Tyre Options of","المزيد من خيارات الإطارات"
"SEE ALL","عرض جميع الإطارات"
"Search here","إبحث هنا"
"Search here ...","إبحث هنا ..."
"TYRE SHOP NEAR ME - SEARCH YOUR LOCATION","متجر كفرات بالقرب مني - ابحث عن موقعك"
"SEARCH","إبحث"
"No any Installer found!!","لم يتم العثور على أي موقع لتركيب الكفرات!!"
"Convenient Tyre Fitting with TyresOnline","مواقع مناسبة لتركيب الكفرات معTYRESONLINE"
"At TyresOnline, we understand that convenience is key when it comes to fitting your vehicle with new tyres. That’s why we have partnered with the best fitment centers across the KSA to ensure that you can find a location that suits your needs. On this page, you can easily search your area to find fitment centers near you and select the one that’s most convenient. We make tyre fitting easy and hassle-free, so you can get back on the road with confidence.","في تايرز اونلاين، نحن نعرف أن السهولة هي أهم عنصر عند تركيب كفرات جديدة لسيارتك. لهذا، تعاونا مع أكبر مراكز تغيير الكفرات في المملكة العربية السعودية، ولضمان وجود مركز قريب لخدمتك أيًا كان مكانك أو احتياجك. يمكنك من خلال هذه الصفحة الاطلاع على جميع مراكز تغيير الكفرات القريبة منك، وتختار المناسب لك منها. مهتمنا هي راحتك، وراحتك هي الرجوع إلى الطريق في أقصر فترة بعد وصولك إلى مراكز شركائنا."
"Enter tyre size","أدخل مقاس الإطار"
"Please enter tyre size","الرجاء إدخال مقاس الإطار"
"Fares Al Toruk Company","شركة فارس الطرق"
"Second floor, Bridgestone Bldg. Al Sharafeyah, Palestine St. Jeddah, KSA","المملكة العربية السعودية، جدة، شارع فلسطين، الشرفية، مبنى بريجستون، الطابق الثاني"
"Second Floor, Bridgestone Bldg.,","مبنى بريجستون، الطابق الثاني"
"Al Sharafeyah, Palestine St. Jeddah, KSA","المملكة العربية السعودية، جدة، شارع فلسطين، الشرفية، "
"from you","منك"
"SEARCH LOCATION","ابحث عن موقعك "
"Buy Tyres Online","أشتري كفرات أونلاين"
"Fit Anywhere in the KSA","تركيب الكفرات في جميع أنحاء السعودية"
"Fit Anywhere in the UAE","تركيب الكفرات في جميع أنحاء السعودية"
"Why buy from Tyresonline.ae?","لماذا تشتري من TyresOnline.sa؟"
"Why buy from TyresOnline.ae?","لماذا تشتري من TyresOnline.sa؟"
"700 درهم إماراتي","700 ريال سعودي"
"60+ Authorized Tyre Brands","ماركات كفرات معتمدة +50"
"Current Deals","العروض الحالية"
"Search Tyres by Size","أبحث حسب حجم الكفر"
"We are it! We’re always online, search and find the tyres you need from the comfort of wherever your are in the KSA.","نحن بجانبك أينما كنت. أبحث وأختر الكفرات التي تحتاجها بمنتهى السهولة أينما كنت داخل المملكة 
العربية السعودية."
"KSA TYRES ","كفرات السعودية بجميع  "
"IN ALL MAJOR CITIES","المدن الكبرى بالمملكة"
"TYRE SHOP", "متجر كفرات"
"NEAR ME", "بالقرب مني"
"TYRES IN","كفرات في"
"ALL OVER THE KSA","في جميع أنحاء السعودية"
"ALL OVER THE UAE","في جميع أنحاء السعودية"
"THE RIGHT TYRES FOR YOUR VEHICLE","الإطارات المناسبة لمركبتك"
"Looking for the perfect tyres for your car? TyresOnline has got you covered! Browse through our wide selection of tyres for most brands and models to find the perfect fit for your vehicle.","هل تبحث عن الإطارات المثالية لمركبتك؟ TyresOnline يوفر لك ما تحتاجه! تصفح مجموعتنا الواسعة من الإطارات لمعظم العلامات التجارية والموديلات لتجد الإطار المثالي لمركبتك."
"ALL CAR BRANDS","جميع العلامات التجارية للسيارات"
"Tyre Offers, Promotions, and Deals in KSA","عروض وترويجات وخصومات الكفرات في جميع أنحاء المملكة العربية السعودية"
"Tyre Offers and Promotion - Best Deals in KSA","عروض وترويجات وخصومات الكفرات في جميع أنحاء المملكة العربية السعودية"
"Discover unbeatable tyre offers, promotions, and deals at TyresOnline.sa! Our website is your go-to destination for the best tyre prices in Riyadh and across the KSA. We regularly update our promotions to provide you with exceptional value on top-quality tyres. Whether you're looking for discounts, special deals, or seasonal promotions, you'll find the best tyre deals here. Stay tuned and check back often to take advantage of our latest tyre offers and save big on your next purchase. TyresOnline.sa - your trusted source for all your tyre needs!","اكتشف عروض وترويجات وخصومات الإطارات التي لا تقاوم على TyresOnline.sa! موقعنا هو وجهتك المثالية لأفضل أسعار الكفرات في الرياض وفي جميع أنحاء المملكة العربية السعودية. نقوم بتحديث ترويجاتنا بانتظام لنقدم لك أفضل قيمة على الكفرات عالية الجودة. سواء كنت تبحث عن خصومات، عروض خاصة، أو ترويجات موسمية، ستجد أفضل الصفقات على الكفرات هنا. تابعنا باستمرار وزر موقعنا بانتظام للاستفادة من أحدث العروض وتوفير الكثير في عملية الشراء القادمة. TyresOnline.sa - مصدرك الموثوق لجميع احتياجات الكفرات!"
"BUY TYRES ONLINE","اشترِ الكفرات أونلاين"
"SHOP NOW","تسوق الآن"
"Details","التفاصيل"
"Search by Vehicle","ابحث حسب المركبة"
"Specifications","المواصفات"
"Speed Rating","مؤشر السرعة"
"Load Index","مؤشر الحمولة"
"Fuel Efficiency","كفاءة الوقود"
"Low Stock","مخزون منخفض"
"Clear All","مسح الكل"
"Now Shopping by","التصفية حسب"
"Remove This Item","إزالة هذا الخيار"
"Brand","الماركة"
"Pattern","نوع النقشة"
"Warranty Period","فترة الضمان"
"Run Flat","إطارات ران فلات"
"Min","الحد الأدنى"
"Max","الحد الأقصى"
"Go","تطبيق"
"piece","قطعة"
"/piece","/قطعة"
"Products","المنتجات"
"Filter by %1","تصفية حسب %1"
"1 Year Warranty","ضمان لمدة سنة واحدة"
"3 Years Warranty","ضمان لمدة 3 سنوات"
"Lifetime Guarantee","ضمان مدى الحياة"
"The easiest way to buy and install tyres online, anywhere in the KSA.","أسهل طريقة لشراء وتركيب الكفرات أونلاين، في أي مكان في المملكة العربية السعودية."
"Search by tyre size or vehicle details, select quantity and add to cart.","ابحث حسب حجم الإطار أو تفاصيل المركبة، اختر الكمية وأضفها إلى السلة."
"Select one of our partner installers, or ship them to your doorstep.","اختر أحد مراكز التركيب الشريكة لنا، أو اطلب شحنها إلى باب منزلك.اختر أحد مراكز التركيب الشريكة لنا، أو اطلب شحنها إلى باب منزلك."
"ABOUT TYRESONLINE","من هي تايرز اونلاين؟"
"We are here! We’re always online, search and find the tyres you need from the comfort of wherever your are in the KSA.","نحن هنا بجانبك أينما كنت! نحن دائما اونلاين!  ابحث معنا لتجد أفضل إطار يناسب سيارتك أينما كنت في المملكة العربية السعودية!"
"TYRESONLINE ","مقالات"
"BLOG "," تايرز اونلاين"
"How to Find my Tyre size ?","كيف أعرف مقاس كفرات سيارتي؟"
"People Have Also Asked","أسئلة شائعة"
"Why Choose","لماذا تختارنا"
"Technical specs:","المواصفات الفنية:"
"Dig Into the Details :","تفاصيل إضافية:"
"Free Fitment","تركيب مجاني"
"With each purchase you make","مع كل عملية شراء"
"Qualified Call Center","مركز اتصال مؤهل"
"Available at all times","متاح على مدار الساعة"
"Competitive Prices","أسعار تنافسية"
"Same tyre, Lower Price","نفس الكفر، سعر أقل"
"Secure Payments","مدفوعات آمنة"
"Safe, Seamless, and Protected Transactions","معاملات آمنة وسلسة ومحمية"
"Wide Product Range","مجموعة واسعة من المنتجات"
"Large Choices to Meet Your Needs","خيارات كبيرة لتلبية احتياجاتك"
"Authentic & Trusted Products","منتجات أصلية وموثوقة"
"60+ Authorized Tyre Brands","أكثر من 60 علامة كفرات معتمدة"
"Why should I use winter tyres instead of all-season tyres?","لماذا يجب أن أستخدم كفرات الشتاء بدلاً من كفرات جميع المواسم؟"
"Winter tyres are designed for cold weather and provide better grip, handling, and safety compared to all-season tyres when temperatures drop below 7°C.","صُممت كفرات الشتاء للطقس البارد وتوفر قبضاً أفضل وتحكماً أكبر وسلامة أعلى مقارنة بكفرات جميع المواسم عندما تنخفض درجة الحرارة إلى أقل من 7°م."
"How do winter tyres improve safety in cold weather?","كيف تحسّن كفرات الشتاء السلامة في الطقس البارد؟"
"Winter tyres use special rubber compounds and tread patterns to maintain flexibility and traction on snow, ice, and cold roads, reducing braking distances and risk of skidding.","تستخدم كفرات الشتاء مركبات مطاطية خاصة ونقوشاً مصممة للحفاظ على المرونة والتماسك على الثلج والجليد والطرق الباردة، مما يقلل مسافة الفرملة وخطر الانزلاق."
"When should I switch to winter tyres?","متى يجب أن أستبدل كفراتي بكفرات الشتاء؟"
"You should switch to winter tyres when the average daily temperature consistently falls below 7°C, usually in late autumn or early winter.","يجب استبدال الكفرات بكفرات الشتاء عندما تنخفض درجة الحرارة اليومية باستمرار إلى أقل من 7°م، وعادةً في أواخر الخريف أو أوائل الشتاء."
"Can I use winter tyres year-round?","هل يمكنني استخدام كفرات الشتاء على مدار العام؟"
"It is not recommended to use winter tyres year-round as they wear out faster in warm weather and may not perform as well as summer or all-season tyres.","لا يُنصح باستخدام كفرات الشتاء على مدار العام لأنها تتآكل أسرع في الطقس الدافئ وقد لا تؤدي بنفس كفاءة كفرات الصيف أو جميع المواسم."
"Browse Other","تصفح المزيد من"
"See all","عرض الكل"
"My Cart","عربة التسوق"
"Compare Now","قارن الآن"
"KSA Score","تقييم السعودية"
"UAE Score","تقييم السعودية"
"Features","المميزات"
"Dry Handling","التحكم على الطرق الجافة"
"Wet Handling","التحكم على الطرق المبللة"
"Snow","الثلج"
"Comfort","الراحة"
"Technical Specs","المواصفات الفنية"
"Vehicle Type","نوع المركبة"
"Clear all","مسح الكل"
"Compare","قارن"
"Selected","محدد"
"items Selected","عناصر محددة"
"The information below is required for social login","المعلومات التالية مطلوبة لتسجيل الدخول عبر الشبكات الاجتماعية"
"Please verify your account by clicking the link sent to your email.","يُرجى تأكيد حسابك بالضغط على الرابط المرسل إلى بريدك الإلكتروني."
"Add Tyre","أضف إطاراً"
"Tyres Jeddah","إطارات جدة"
"Tyres Dammah","إطارات الدمام"
"Tyres Dammam","إطارات الدمام"
"CENTERS","مراكز"
"NEAR ME","بالقرب مني"
"ANYWHERE IN THE KSA","في كافة أنحاء السعودية"
"TyresOnline.sa Home","الصفحة الرئيسية TyresOnline.sa"
"Your Account has been created","تم إنشاء حسابك"
"OEM","أصلي من المصنع"
